LAD13CD,LAD13CDO,LAD13NM,NUTS315CD,NUTS315NM,NUTS215CD,NUTS215NM,NUT115CD,NUTS115NM,FID
E08000032,00CX,Bradford,UKE41,Bradford,UKE4,West Yorkshire,UKE,Yorkshire and The Humber,288
E08000033,00CY,Calderdale,UKE44,Calderdale and Kirklees,UKE4,West Yorkshire,UKE,Yorkshire and The Humber,289
E08000034,00CZ,Kirklees,UKE44,Calderdale and Kirklees,UKE4,West Yorkshire,UKE,Yorkshire and The Humber,290
E08000035,00DA,Leeds,UKE42,Leeds,UKE4,West Yorkshire,UKE,Yorkshire and The Humber,291
E08000036,00DB,Wakefield,UKE45,Wakefield,UKE4,West Yorkshire,UKE,Yorkshire and The Humber,292
E08000037,00CH,Gateshead,UKC22,Tyneside,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),293
E09000001,00AA,City of London,UKI31,Camden and City of London,UKI3,Inner London - West,UKI,London,294
E09000002,00AB,Barking and Dagenham,UKI52,Barking & Dagenham and Havering,UKI5,Outer London - East and North East,UKI,London,295
E09000003,00AC,Barnet,UKI71,Barnet,UKI7,Outer London - West and North West,UKI,London,296
E09000004,00AD,Bexley,UKI51,Bexley and Greenwich,UKI5,Outer London - East and North East,UKI,London,297
E09000005,00AE,Brent,UKI72,Brent,UKI7,Outer London - West and North West,UKI,London,298
E09000006,00AF,Bromley,UKI61,Bromley,UKI6,Outer London - South,UKI,London,299
E09000007,00AG,Camden,UKI31,Camden and City of London,UKI3,Inner London - West,UKI,London,300
E09000008,00AH,Croydon,UKI62,Croydon,UKI6,Outer London - South,UKI,London,301
E09000009,00AJ,Ealing,UKI73,Ealing,UKI7,Outer London - West and North West,UKI,London,302
E09000010,00AK,Enfield,UKI54,Enfield,UKI5,Outer London - East and North East,UKI,London,303
E09000011,00AL,Greenwich,UKI51,Bexley and Greenwich,UKI5,Outer London - East and North East,UKI,London,304
E09000012,00AM,Hackney,UKI41,Hackney and Newham,UKI4,Inner London - East,UKI,London,305
E09000013,00AN,Hammersmith and Fulham,UKI33,Kensington & Chelsea and Hammersmith & Fulham,UKI3,Inner London - West,UKI,London,306
E09000014,00AP,Haringey,UKI43,Haringey and Islington,UKI4,Inner London - East,UKI,London,307
E09000015,00AQ,Harrow,UKI74,Harrow and Hillingdon,UKI7,Outer London - West and North West,UKI,London,308
E09000016,00AR,Havering,UKI52,Barking & Dagenham and Havering,UKI5,Outer London - East and North East,UKI,London,309
E09000017,00AS,Hillingdon,UKI74,Harrow and Hillingdon,UKI7,Outer London - West and North West,UKI,London,310
E09000018,00AT,Hounslow,UKI75,Hounslow and Richmond upon Thames,UKI7,Outer London - West and North West,UKI,London,311
E09000019,00AU,Islington,UKI43,Haringey and Islington,UKI4,Inner London - East,UKI,London,312
E09000020,00AW,Kensington and Chelsea,UKI33,Kensington & Chelsea and Hammersmith & Fulham,UKI3,Inner London - West,UKI,London,313
E09000021,00AX,Kingston upon Thames,UKI63,"Merton, Kingston upon Thames and Sutton",UKI6,Outer London - South,UKI,London,314
E09000022,00AY,Lambeth,UKI45,Lambeth,UKI4,Inner London - East,UKI,London,315
E09000023,00AZ,Lewisham,UKI44,Lewisham and Southwark,UKI4,Inner London - East,UKI,London,316
E09000024,00BA,Merton,UKI63,"Merton, Kingston upon Thames and Sutton",UKI6,Outer London - South,UKI,London,317
